"County","FIPS","Prevalent Count"
"Ada County","16001","4,712"
"Adams County","16003","44"
"Bannock County","16005","1,357"
"Bear Lake County","16007","119"
"Benewah County","16009","142"
"Bingham County","16011","907"
"Blaine County","16013","125"
"Boise County","16015","48"
"Bonner County","16017","642"
"Bonneville County","16019","1,710"
"Boundary County","16021","166"
"Butte County","16023","30"
"Camas County","16025","*"
"Canyon County","16027","3,126"
"Caribou County","16029","73"
"Cassia County","16031","321"
"Clark County","16033","25"
"Clearwater County","16035","147"
"Custer County","16037","43"
"Elmore County","16039","311"
"Franklin County","16041","83"
"Fremont County","16043","195"
"Gem County","16045","201"
"Gooding County","16047","290"
"Idaho County","16049","156"
"Jefferson County","16051","375"
"Jerome County","16053","403"
"Kootenai County","16055","2,413"
"Latah County","16057","254"
"Lemhi County","16059","45"
"Lewis County","16061","91"
"Lincoln County","16063","28"
"Madison County","16065","207"
"Minidoka County","16067","317"
"Nez Perce County","16069","759"
"Oneida County","16071","51"
"Owyhee County","16073","177"
"Payette County","16075","338"
"Power County","16077","108"
"Shoshone County","16079","272"
"Teton County","16081","77"
"Twin Falls County","16083","1,032"
"Valley County","16085","103"
"Washington County","16087","173"
