"County","FIPS","Prevalent Count"
"Anderson County","47001","1,435"
"Bedford County","47003","1,241"
"Benton County","47005","321"
"Bledsoe County","47007","447"
"Blount County","47009","2,601"
"Bradley County","47011","1,762"
"Campbell County","47013","805"
"Cannon County","47015","451"
"Carroll County","47017","1,072"
"Carter County","47019","1,076"
"Cheatham County","47021","840"
"Chester County","47023","324"
"Claiborne County","47025","616"
"Clay County","47027","106"
"Cocke County","47029","758"
"Coffee County","47031","1,198"
"Crockett County","47033","589"
"Cumberland County","47035","1,021"
"Davidson County","47037","15,094"
"Decatur County","47039","205"
"DeKalb County","47041","241"
"Dickson County","47043","889"
"Dyer County","47045","802"
"Fayette County","47047","1,266"
"Fentress County","47049","380"
"Franklin County","47051","754"
"Gibson County","47053","1,230"
"Giles County","47055","842"
"Grainger County","47057","394"
"Greene County","47059","1,194"
"Grundy County","47061","234"
"Hamblen County","47063","1,129"
"Hamilton County","47065","8,230"
"Hancock County","47067","51"
"Hardeman County","47069","901"
"Hardin County","47071","460"
"Hawkins County","47073","953"
"Haywood County","47075","1,307"
"Henderson County","47077","666"
"Henry County","47079","665"
"Hickman County","47081","445"
"Houston County","47083","118"
"Humphreys County","47085","314"
"Jackson County","47087","330"
"Jefferson County","47089","1,069"
"Johnson County","47091","251"
"Knox County","47093","7,567"
"Lake County","47095","209"
"Lauderdale County","47097","623"
"Lawrence County","47099","743"
"Lewis County","47101","129"
"Lincoln County","47103","641"
"Loudon County","47105","1,008"
"Macon County","47111","308"
"Madison County","47113","2,441"
"Marion County","47115","510"
"Marshall County","47117","894"
"Maury County","47119","1,686"
"McMinn County","47107","1,062"
"McNairy County","47109","578"
"Meigs County","47121","172"
"Monroe County","47123","764"
"Montgomery County","47125","2,934"
"Moore County","47127","31"
"Morgan County","47129","245"
"Obion County","47131","988"
"Overton County","47133","318"
"Perry County","47135","114"
"Pickett County","47137","37"
"Polk County","47139","245"
"Putnam County","47141","998"
"Rhea County","47143","523"
"Roane County","47145","990"
"Robertson County","47147","1,166"
"Rutherford County","47149","4,502"
"Scott County","47151","287"
"Sequatchie County","47153","144"
"Sevier County","47155","1,296"
"Shelby County","47157","34,086"
"Smith County","47159","518"
"Stewart County","47161","130"
"Sullivan County","47163","2,416"
"Sumner County","47165","2,408"
"Tipton County","47167","1,213"
"Trousdale County","47169","103"
"Unicoi County","47171","243"
"Union County","47173","211"
"Unknown","47999","110"
"Van Buren County","47175","55"
"Warren County","47177","666"
"Washington County","47179","1,492"
"Wayne County","47181","227"
"Weakley County","47183","605"
"White County","47185","440"
"Williamson County","47187","1,515"
"Wilson County","47189","1,602"
