"GEOID","median_age"
6001,37.3
6003,44.9
6005,50.6
6007,36.9
6009,51.6
6011,34.7
6013,39.2
6015,38.7
6017,45.5
6019,31.8
6021,36.8
6023,37.7
6025,32.2
6027,45.6
6029,31.3
6031,31.5
6033,45.8
6035,36.2
6037,36
6039,33.7
6041,46.1
6043,51.1
6045,42.4
6047,30.8
6049,47.8
6051,38.3
6053,33.9
6055,40.8
6057,49.8
6059,37.5
6061,41.6
6063,52.1
6065,35
6067,35.9
6069,35.4
6071,32.9
6073,35.4
6075,38.3
6077,33.9
6079,39
6081,39.6
6083,33.7
6085,37
6087,37.3
6089,41.8
6091,55
6093,47.9
6095,37.7
6097,41.4
6099,33.9
6101,35.7
6103,41.1
6105,51.4
6107,30.6
6109,48.6
6111,37.5
6113,30.9
6115,32.4
