"CASRN","chemical_name "
"71751-41-2","Abamectin"
"30560-19-1","Acephate"
"75-07-0","Acetaldehyde"
"60-35-5","Acetamide"
"75-05-8","Acetonitrile"
"98-86-2","Acetophenone"
"53-96-3","2-Acetylaminofluorene"
"62476-59-9","Acifluorfen, sodium salt "
"107-02-8","Acrolein"
"79-06-1","Acrylamide"
"79-10-7","Acrylic acid"
"107-13-1","Acrylonitrile"
"15972-60-8","Alachlor"
"116-06-3","Aldicarb"
"309-00-2","Aldrin"
"28434-00-6","d-trans-Allethrin d-trans-Allethrin "
"107-18-6","Allyl alcohol"
"107-11-9","Allylamine"
"107-05-1","Allyl chloride"
"7429-90-5","Aluminum (fume or dust)"
"1344-28-1","Aluminum oxide (fibrous forms) (Alumina)"
"20859-73-8","Aluminum phosphide"
"834-12-8","Ametryn"
"117-79-3","2-Aminoanthraquinone"
"60-09-3","4-Aminoazobenzene"
"92-67-1","4-Aminobiphenyl"
"81-49-2","1-Amino-2,4-dibromoanthraquinone "
"82-28-0","1-Amino-2-methylanthraquinone"
"33089-61-1","Amitraz"
"61-82-5","Amitrole"
"7664-41-7","Ammonia (includes anhydrous ammonia and aqueous ammonia from water dissociable ammonium salts and other sources; 10 percent of total aqueous ammonia is reportable under this listing)"
"101-05-3","Anilazine"
"62-53-3","Aniline"
"90-04-0","o-Anisidine"
"104-94-9","p-Anisidine"
"134-29-2","o-Anisidine hydrochloride"
"120-12-7","Anthracene"
"7440-36-0","Antimony"
"7440-38-2","Arsenic"
"1332-21-4","Asbestos (friable)"
"1912-24-9","Atrazine"
"7440-39-3","Barium"
"22781-23-3","Bendiocarb"
"1861-40-1","Benfluralin"
"17804-35-2","Benomyl"
"98-87-3","Benzal chloride"
"55-21-0","Benzamide"
"71-43-2","Benzene"
"92-87-5","Benzidine"
"191-24-2","Benzo[g,h,i]perylene"
"98-07-7","Benzoic trichloride (Benzotrichloride)"
"98-88-4","Benzoyl chloride"
"94-36-0","Benzoyl peroxide"
"100-44-7","Benzyl chloride"
"7440-41-7","Beryllium"
"82657-04-3","Bifenthrin"
"92-52-4","Biphenyl"
"3296-90-0","2,2-Bis(bromomethyl)-1,3-propanediol "
"111-91-1","Bis(2-chloroethoxy)methane"
"111-44-4","Bis(2-chloroethyl) ether"
"542-88-1","Bis(chloromethyl) ether"
"108-60-1","Bis(2-chloro-1-methylethyl) ether"
"56-35-9","Bis(tributyltin) oxide"
"10294-34-5","Boron trichloride"
"7637-07-2","Boron trifluoride"
"314-40-9","Bromacil"
"53404-19-6","Bromacil, lithium salt"
"7726-95-6","Bromine"
"35691-65-7","1-Bromo-1-(bromomethyl)-1,3-propanedicarbonitrile"
"353-59-3","Bromochlorodifluoromethane (Halon 1211)"
"75-25-2","Bromoform (Tribromomethane)"
"74-83-9","Bromomethane (Methyl bromide)"
"106-94-5","1-Bromopropane"
"75-63-8","Bromotrifluoromethane (Halon 1301)"
"1689-84-5","Bromoxynil"
"1689-99-2","Bromoxynil octanoate"
"357-57-3","Brucine"
"106-99-0","1,3-Butadiene"
"141-32-2","Butyl acrylate"
"71-36-3","n-Butyl alcohol (1-Butanol)"
"78-92-2","sec-Butyl alcohol (2-Butanol)"
"75-65-0","tert-Butyl alcohol (tert-Butanol)"
"106-88-7","1,2-Butylene oxide"
"123-72-8","Butyraldehyde"
"4680-78-8","C.I. Acid Green 3"
"6459-94-5","C.I. Acid Red 114"
"569-64-2","C.I. Basic Green 4 (Malachite green)"
"989-38-8","C.I. Basic Red 1"
"1937-37-7","C.I. Direct Black 38"
"2602-46-2","C.I. Direct Blue 6"
"28407-37-6","C.I. Direct Blue 218"
"16071-86-6","C.I. Direct Brown 95"
"2832-40-8","C.I. Disperse Yellow 3"
"3761-53-3","C.I. Food Red 5"
"81-88-9","C.I. Food Red 15 (Rhodamine B)"
"3118-97-6","C.I. Solvent Orange 7"
"97-56-3","C.I. Solvent Yellow 3"
"842-07-9","C.I. Solvent Yellow 14"
"492-80-8","C.I. Solvent Yellow 34 (Auramine)"
"128-66-5","C.I. Vat Yellow 4"
"7440-43-9","Cadmium"
"156-62-7","Calcium cyanamide"
"133-06-2","Captan"
"63-25-2","Carbaryl"
"1563-66-2","Carbofuran"
"75-15-0","Carbon disulfide"
"56-23-5","Carbon tetrachloride"
"463-58-1","Carbonyl sulfide"
"5234-68-4","Carboxin"
"120-80-9","Catechol"
"2439-01-2","Chinomethionate"
"133-90-4","Chloramben"
"57-74-9","Chlordane"
"115-28-6","Chlorendic acid"
"90982-32-4","Chlorimuron-ethyl"
"7782-50-5","Chlorine"
"10049-04-4","Chlorine dioxide"
"79-11-8","Chloroacetic acid"
"532-27-4","2-Chloroacetophenone"
"4080-31-3","1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride"
