"field","description"
"row","row #"
"facility","Facility"
"trif_id","TRIF ID"
"latitude","Latitude"
"longitude","Longitude"
"underground_injection_to_class_i_wells","Underground Injection to Class I Wells"
"rcra_subtitle_c_landfills","RCRA Subtitle C Landfills"
"other_landfills","Other Landfills"
"potw_transfers_releases_to_class_i_ui_wells_and_landfills","POTW Transfers - Releases to Class I UI Wells and Landfills"
"subtotal_from_u_i_t_c_i_w","Sub Total"
"storage_only","Storage Only"
"solidification_stabilization_metals_only","Solidification/Stabilization (metals only)"
"wastewater_treatment_metals_only","Wastewater Treatment-Metals Only"
"potw_transfers_other_rel","POTW Transfers - Other Releases"
"underground_injection_class_ii_v_wells","Underground Injection Class II-V Wells"
"rcra_subtitle_c_surface_impoundments","RCRA Subtitle C Surface Impoundments"
"other_surface_impoundments","Other Surface Impoundments"
"land_treatment","Land Treatment"
"other_land_disposal","Other Land Disposal"
"other_off_site_management","Other Off-site Management"
"waste_broker","Waste Broker"
"unknown","Unknown"
"subtotal_from_s_o","Sub Total"
"total_off_site_disposal_other_rel","Total Off-site Disposal or Other Releases"
"total_on_off_site_ disposal_other_rel","Total On- and Off-site Disposal or Other Releases"
