"SUMLEV","REGION","DIVISION","STATE","NAME","POPESTIMATE2019","BIRTHS2019","DEATHS2019","NATURALINC2019","INTERNATIONALMIG2019","DOMESTICMIG2019","NETMIG2019","RESIDUAL2019","RBIRTH2019","RDEATH2019","RNATURALINC2019","RINTERNATIONALMIG2019","RDOMESTICMIG2019","RNETMIG2019"
40,3,6,"AL ","Alabama",4903185,57313,53879,3434,2772,9387,12159,-89,11.707442426,11.005972301,0.7014701253,0.5662420464,1.9175014754,2.4837435218
40,4,9,"AK ","Alaska",731545,10031,4819,5212,659,-9482,-8823,17,13.678474709,6.5712859757,7.1071887332,0.8986257435,-12.92984719,-12.03122145
40,4,8,"AZ ","Arizona",7278717,81942,60523,21419,7782,91017,98799,475,11.351869511,8.3845793175,2.9672901938,1.0780826504,12.609078462,13.687161112
40,3,7,"AR ","Arkansas",3017804,36640,31322,5318,268,2515,2783,-30,12.15753632,10.392968139,1.764568181,0.0889252111,0.8345033801,0.9234285911
40,4,9,"CA ","California",39512223,462617,282520,180097,74028,-203414,-129386,-76,11.715706616,7.1547769171,4.5609296986,1.8747480731,-5.15142925,-3.276681177
40,4,8,"CO ","Colorado",5758736,64524,39116,25408,10523,31335,41858,183,11.270545046,6.8324753583,4.4380696877,1.8380749104,5.4733514509,7.3114263613
40,1,1,"CT ","Connecticut",3565287,34567,31149,3418,12323,-22059,-9736,85,9.6869650531,8.7291137339,0.9578513192,3.4533650693,-6.181756071,-2.728391002
40,3,5,"DE ","Delaware",973764,10683,9454,1229,73,6961,7034,22,11.017701237,9.7501963395,1.2675048975,0.0752871095,7.1790899851,7.2543770946
40,3,5,"DC","District of Columbia",705749,9493,5677,3816,2604,-2203,401,-15,13.49112056,8.0679544318,5.4231661285,3.7007139934,-3.130826777,0.5698872163
40,3,5,"FL ","Florida",21477737,221695,211692,10003,88678,133910,222588,829,10.378480398,9.9101976698,0.4682827282,4.1513921592,6.2688933449,10.420285504
40,3,5,"GA ","Georgia",10617423,127873,86319,41554,15053,49680,64733,5,12.104283142,8.170838383,3.9334447592,1.4248963748,4.702640796,6.1275371708
40,4,9,"HI ","Hawaii",1415872,16878,12748,4130,5014,-13817,-8803,-48,11.900728548,8.9886531299,2.9120754178,3.5353864758,-9.742408244,-6.207021768
40,4,8,"ID ","Idaho",1787065,22220,13308,8912,167,27360,27527,90,12.562185504,7.523742785,5.0384427187,0.0944142655,15.468109603,15.562523869
40,2,3,"IL ","Illinois",12671821,144299,110004,34295,19209,-104986,-85777,232,11.364411394,8.6634745287,2.7009368656,1.5128239175,-8.268276943,-6.755453026
40,2,3,"IN ","Indiana",6732219,80711,62175,18536,14379,3997,18376,-190,12.021553033,9.260696309,2.7608567235,2.1416896217,0.5953357965,2.7370254182
40,2,4,"IA ","Iowa",3155070,37672,28809,8863,2663,-5011,-2348,-63,11.952368201,9.1403635459,2.8120046551,0.8449022223,-1.58986295,-0.744960728
40,2,4,"KS ","Kansas",2913314,35457,25230,10227,4104,-12357,-8253,-19,12.174760712,8.6631472702,3.5116134416,1.4091778199,-4.242984971,-2.833807151
40,3,6,"KY ","Kentucky",4467673,53471,46074,7397,765,-1541,-776,-101,11.977162507,10.320281748,1.656880759,0.1713551143,-0.345174158,-0.173819044
40,3,7,"LA ","Louisiana",4648794,58498,46343,12155,3040,-26045,-23005,-46,12.568749111,9.957153066,2.6115960451,0.6531675835,-5.5959703,-4.942802716
40,1,1,"ME ","Maine",1344212,12073,14335,-2262,852,6613,7465,-48,8.9987250626,10.684728218,-1.686003155,0.6350462812,4.9290622744,5.5641085556
40,3,5,"MD ","Maryland",6045680,70091,51453,18638,15011,-23665,-8654,-106,11.603046712,8.5176636442,3.0853830681,2.4849600405,-3.917565742,-1.432605702
40,1,1,"MA ","Massachusetts",6892503,70419,58564,11855,28426,-30274,-1848,-139,10.224071802,8.502854926,1.7212168764,4.1271455865,-4.395455058,-0.268309472
40,2,3,"MI ","Michigan",9986857,109472,95983,13489,13146,-23670,-10524,-180,10.963135466,9.6122719178,1.3508635477,1.3165136184,-2.370445561,-1.053931943
40,2,4,"MN ","Minnesota",5639632,67642,43200,24442,9113,65,9178,-237,12.0296489,7.6828129339,4.346835966,1.6206822747,0.011559788,1.6322420627
40,3,6,"MS ","Mississippi",2976149,35978,31536,4442,1429,-10740,-9311,-2,12.078891836,10.587579436,1.4913124002,0.4797580864,-3.605739572,-3.125981486
40,2,4,"MO ","Missouri",6137428,71297,60141,11156,5503,-710,4793,-144,11.631732342,9.8116893388,1.8200430033,0.8977856443,-0.115832783,0.7819528608
40,4,8,"MT ","Montana",1068778,11618,9870,1748,322,6024,6346,19,10.911773642,9.2700297683,1.6417438739,0.3024265031,5.6578175607,5.9602440638
40,2,4,"NE ","Nebraska",1934408,25343,15582,9761,3295,-4220,-925,-42,13.131013243,8.0735291146,5.0574841283,1.7072441556,-2.186516035,-0.47927188
40,4,8,"NV ","Nevada",3080156,35932,25610,10322,-970,43207,42237,256,11.766522358,8.3864142709,3.3801080868,-0.317642399,14.148840351,13.831197952
40,1,1,"NH ","New Hampshire",1359711,12004,12125,-121,1947,4469,6416,-49,8.8486703406,8.9378647017,-0.089194361,1.4352183566,3.2942942146,4.7295125712
40,1,2,"NJ ","New Jersey",8882190,99501,75723,23778,21284,-48946,-27662,49,11.199886989,8.5234223021,2.6764646871,2.3957386828,-5.509388535,-3.113649852
40,4,8,"NM ","New Mexico",2096829,23125,18388,4737,1546,-2136,-590,-59,11.039319071,8.7779891492,2.2613299217,0.7380232339,-1.01967505,-0.281651816
40,1,2,"NY ","New York",19453561,222924,164817,58107,45753,-180649,-134896,-1,11.436717793,8.4556419068,2.9810758859,2.3472759737,-9.267874399,-6.920598425
40,3,5,"NC ","North Carolina",10488084,119203,94312,24891,14184,67338,81522,56,11.423547604,9.0381753949,2.3853722088,1.3592912864,6.4531836324,7.8124749188
40,2,4,"ND ","North Dakota",762062,10536,6250,4286,951,-1267,-316,12,13.861862905,8.2229160171,5.6389468879,1.2511989012,-1.666949535,-0.415750634
40,2,3,"OH ","Ohio",11689100,134291,117750,16541,9553,-12916,-3363,-419,11.494839751,10.078988023,1.4158517273,0.8177033765,-1.10556441,-0.287861034
40,3,7,"OK ","Oklahoma",3956971,48759,40266,8493,4484,3822,8306,-63,12.348417909,10.19753062,2.1508872885,1.1355914991,0.9679372679,2.103528767
40,4,9,"OR ","Oregon",4217737,43305,36563,6742,3295,25821,29116,-7,10.311177061,8.7058669181,1.6053101431,0.7845590213,6.1481330769,6.9326920982
40,1,2,"PA ","Pennsylvania",12801989,135190,133439,1751,19532,-19588,-56,-628,10.560517904,10.423736582,0.1367813215,1.5257640039,-1.530138507,-0.004374503
40,1,1,"RI ","Rhode Island",1059361,10481,9802,679,3645,-3215,430,-35,9.8987178228,9.25744033,0.6412774928,3.44249847,-3.036387539,0.4061109306
40,3,5,"SC ","South Carolina",5148714,56353,50744,5609,5724,53034,58758,191,11.01411432,9.9178431857,1.0962711341,1.1187477218,10.365420454,11.484168176
40,2,4,"SD ","South Dakota",884659,11911,7337,4574,418,964,1382,5,13.509459514,8.3216274413,5.1878320726,0.4740957163,1.0933690682,1.5674647845
40,3,6,"TN ","Tennessee",6829174,80239,67977,12262,9293,36009,45302,-21,11.799154535,9.9960259705,1.8031285648,1.3665367601,5.2951277516,6.6616645118
40,3,7,"TX ","Texas",28995881,378664,202786,175878,65044,125660,190704,633,13.142454725,7.0381811418,6.1042735833,2.2575101545,4.3613358036,6.6188459581
40,4,8,"UT ","Utah",3205958,48642,17443,31199,5579,15588,21167,42,15.2974098,5.485644487,9.8117653127,1.7545382442,4.9022660244,6.6568042685
40,1,1,"VT ","Vermont",623989,5581,5634,-53,383,-682,-299,-17,8.9414241393,9.0263364273,-0.084912288,0.6136114398,-1.092644914,-0.479033474
40,3,5,"VA ","Virginia",8535519,98403,69729,28674,14869,-9136,5733,-174,11.551813852,8.1856897464,3.366124106,1.7455150775,-1.072501564,0.673013514
40,4,9,"WA ","Washington",7614893,87950,58587,29363,24103,37476,61579,82,11.619179957,7.7399988189,3.8791811378,3.1842762308,4.9509992957,8.1352755265
40,3,5,"WV ","West Virginia",1792147,17888,22567,-4679,-349,-7073,-7422,-43,9.9476203955,12.549639393,-2.602018998,-0.194080921,-3.933336262,-4.127417183
40,2,3,"WI ","Wisconsin",5822434,63712,50393,13319,3341,-1438,1903,-194,10.956642568,8.6661553383,2.2904872294,0.5745564857,-0.24729489,0.327261596
40,4,8,"WY ","Wyoming",578759,6601,4971,1630,538,-1012,-474,2,11.416859801,8.5976685461,2.8191912553,0.9305060708,-1.75031997,-0.819813899
40,,,"PR","Puerto Rico",3193694,21428,28821,-7393,7733,0,7733,0,6.7098290165,9.0248264926,-2.314997476,2.4214629356,0,2.4214629356
